MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2011030402,1,1,1,0.000000,0,0,0,0,王皓,2,11,2,11,2,7,2,3,0,0,8,3
2011030402,1,1,2,11.398663,0,0,0,0,吴尚垠,11,22,11,4,7,8,3,8,0,0,3,4
2011030402,1,1,3,11.398413,0,0,0,0,王皓,22,15,4,15,8,9,8,9,0,0,4,3
2011030402,1,1,4,12.279025,0,0,0,0,吴尚垠,15,22,15,4,9,8,9,8,0,0,3,4
2011030402,1,1,5,12.389206,0,0,0,0,王皓,22,21,4,15,8,7,8,9,0,9,4,3
2011030402,1,1,6,13.209184,0,0,0,0,吴尚垠,21,26,15,26,7,14,9,14,9,2,3,12
2011030402,1,2,1,15.540522,0,0,1,0,王皓,2,11,2,9,2,9,2,3,0,0,4,3
2011030402,1,2,2,26.939491,0,0,1,0,吴尚垠,11,16,9,4,9,8,3,6,0,10,3,4
2011030402,1,2,3,27.639345,0,0,1,0,王皓,16,25,4,25,8,13,6,13,10,1,4,11
2011030402,1,3,1,30.179751,1,0,1,0,吴尚垠,1,20,1,4,1,8,1,4,0,0,3,4
2011030402,1,3,2,44.847324,1,0,1,0,王皓,20,21,4,3,8,7,4,5,0,0,4,3
2011030402,1,3,3,45.695974,1,0,1,0,吴尚垠,21,22,3,4,7,8,5,6,0,0,3,4
2011030402,1,3,4,45.735328,1,0,1,0,王皓,22,15,4,15,8,9,6,9,0,9,4,3
2011030402,1,3,5,46.454777,1,0,1,0,吴尚垠,15,26,15,26,9,14,9,14,9,2,3,12
2011030402,1,4,1,49.004218,1,0,2,0,吴尚垠,1,26,1,26,1,14,1,14,9,2,3,12
2011030402,1,5,1,66.155647,1,0,3,0,王皓,2,13,2,9,2,7,2,3,0,0,4,3
2011030402,1,5,2,85.391860,1,0,3,0,吴尚垠,13,22,9,4,7,8,3,6,0,0,3,4
2011030402,1,5,3,85.522699,1,0,3,0,王皓,22,21,4,3,8,7,6,5,0,0,4,3
2011030402,1,5,4,85.793175,1,0,3,0,吴尚垠,21,16,3,4,7,10,5,6,0,0,3,4
2011030402,1,5,5,86.382911,1,0,3,0,王皓,16,9,4,3,10,5,6,5,0,0,4,3
2011030402,1,5,6,87.173470,1,0,3,0,吴尚垠,9,10,3,4,5,6,5,6,0,0,3,4
2011030402,1,5,7,87.733221,1,0,3,0,王皓,10,9,4,3,6,5,6,5,0,9,4,3
2011030402,1,5,8,88.263379,1,0,3,0,吴尚垠,9,26,3,26,5,14,5,14,9,2,3,12
2011030402,1,6,1,89.897053,1,0,4,0,王皓,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,7,1,101.817370,2,0,4,0,吴尚垠,0,0,0,0,0,0,0,0,0,0,0,0
