MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2011030402,1,8,1,101.817370,3,0,4,0,吴尚垠,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,9,1,101.817370,4,0,4,0,王皓,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,10,1,101.817370,5,0,4,0,王皓,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,11,1,101.817370,6,0,4,0,吴尚垠,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,12,1,101.817370,7,0,4,0,吴尚垠,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,13,1,101.817370,8,0,4,0,王皓,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,14,1,101.817370,8,0,5,0,王皓,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,15,1,101.817370,8,0,6,0,吴尚垠,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,16,1,101.817370,8,0,7,0,吴尚垠,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,17,1,101.817370,8,0,8,0,王皓,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,18,1,101.817370,8,0,9,0,王皓,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,1,19,1,101.817370,8,0,10,0,吴尚垠,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,2,0,0,0.000000,8,0,11,0,,0,0,0,0,0,0,0,0,0,0,0,0
2011030402,2,1,1,101.817370,0,0,0,0,王皓,2,13,2,9,2,7,2,3,0,0,8,3
2011030402,2,1,2,159.235215,0,0,0,0,吴尚垠,13,16,9,4,7,8,3,6,0,0,3,4
2011030402,2,1,3,159.796395,0,0,0,0,王皓,16,21,4,3,8,7,6,5,0,9,4,3
2011030402,2,1,4,159.796395,0,0,0,0,吴尚垠,21,26,3,26,7,14,5,14,9,2,3,12
2011030402,2,2,1,162.906531,0,0,1,0,王皓,2,13,2,13,2,9,2,3,0,0,4,3
2011030402,2,2,2,176.933084,0,0,1,0,吴尚垠,13,20,13,4,9,10,3,8,0,0,3,4
2011030402,2,2,3,177.652518,0,0,1,0,王皓,20,15,4,15,10,9,8,9,0,0,4,3
2011030402,2,2,4,178.352450,0,0,1,0,吴尚垠,15,16,15,4,9,6,9,8,0,0,3,4
2011030402,2,2,5,179.101996,0,0,1,0,王皓,16,15,4,3,6,7,8,5,0,9,4,3
2011030402,2,2,6,179.321066,0,0,1,0,吴尚垠,15,26,3,26,7,14,5,14,9,2,3,12
2011030402,2,3,1,182.241339,0,0,2,0,吴尚垠,1,14,1,10,1,8,1,4,0,0,3,4
2011030402,2,3,2,192.570839,0,0,2,0,王皓,14,21,10,3,8,7,4,5,0,0,4,3
2011030402,2,3,3,193.200355,0,0,2,0,吴尚垠,21,22,3,4,7,8,5,6,0,0,3,4
2011030402,2,3,4,193.491406,0,0,2,0,王皓,22,15,4,3,8,7,6,5,0,0,4,3
2011030402,2,3,5,194.180816,0,0,2,0,吴尚垠,15,22,3,4,7,8,5,6,0,0,3,4
2011030402,2,3,6,194.681496,0,0,2,0,王皓,22,21,4,3,8,7,6,5,0,0,4,3
2011030402,2,3,7,194.681496,0,0,2,0,吴尚垠,21,22,3,4,7,8,5,6,0,0,3,4
2011030402,2,3,8,195.601500,0,0,2,0,王皓,22,21,4,3,8,7,6,5,0,9,4,3
2011030402,2,3,9,195.601500,0,0,2,0,吴尚垠,21,26,3,26,7,14,5,14,9,2,3,12
2011030402,2,4,1,198.381225,0,0,3,0,吴尚垠,1,26,1,26,1,14,1,14,9,2,3,12
2011030402,2,5,1,212.724468,0,0,4,0,王皓,2,13,2,13,2,9,2,3,0,0,4,3
2011030402,2,5,2,219.405013,0,0,4,0,吴尚垠,13,20,13,14,9,8,3,12,0,0,3,4
2011030402,2,5,3,220.375149,0,0,4,0,王皓,20,13,14,13,8,9,12,11,0,0,4,3
2011030402,2,5,4,221.105873,0,0,4,0,吴尚垠,13,14,13,10,9,10,11,8,0,0,3,4
2011030402,2,5,5,221.395646,0,0,4,0,王皓,14,13,10,3,10,9,8,5,0,0,4,3
2011030402,2,5,6,222.196349,0,0,4,0,吴尚垠,13,22,3,25,9,13,5,13,0,10,3,11
2011030402,2,5,7,222.957188,0,0,4,0,王皓,22,25,25,0,13,0,13,0,10,0,11,0
2011030402,2,6,1,222.957188,1,0,4,0,王皓,2,13,2,13,2,9,2,3,0,0,4,3
2011030402,2,6,2,243.697893,1,0,4,0,吴尚垠,13,14,13,4,9,8,3,8,0,0,3,4
2011030402,2,6,3,244.617099,1,0,4,0,王皓,14,15,4,15,8,5,8,9,0,9,4,3
2011030402,2,6,4,245.227733,1,0,4,0,吴尚垠,15,26,15,26,5,14,9,14,9,2,3,12
2011030402,2,7,1,246.747547,1,0,5,0,吴尚垠,1,20,1,10,1,8,1,4,0,0,3,4
2011030402,2,7,2,259.821928,1,0,5,0,王皓,20,15,10,15,8,7,4,9,0,9,4,3
2011030402,2,7,3,260.381066,1,0,5,0,吴尚垠,15,26,15,26,7,14,9,14,9,2,3,12
2011030402,2,8,1,262.356176,1,0,6,0,吴尚垠,1,14,1,10,1,8,1,4,0,0,3,4
2011030402,2,8,2,304.204921,1,0,6,0,王皓,14,21,10,3,8,7,4,5,0,0,4,3
2011030402,2,8,3,304.785283,1,0,6,0,吴尚垠,21,22,3,4,7,8,5,6,0,10,3,4
2011030402,2,8,4,305.285873,1,0,6,0,王皓,22,25,4,25,8,13,6,13,10,1,4,11
2011030402,2,9,1,308.075323,2,0,6,0,王皓,2,13,2,9,2,7,2,3,0,0,8,3
2011030402,2,9,2,329.768656,2,0,6,0,吴尚垠,13,22,9,4,7,8,3,6,0,0,3,4
2011030402,2,9,3,330.590771,2,0,6,0,王皓,22,15,4,3,8,7,6,5,0,9,4,3
2011030402,2,9,4,330.590771,2,0,6,0,吴尚垠,15,26,3,26,7,14,5,14,9,2,3,12
2011030402,2,10,1,333.287268,2,0,7,0,王皓,2,13,2,3,2,9,2,3,0,9,4,3
2011030402,2,10,2,344.330114,2,0,7,0,吴尚垠,13,26,3,26,9,14,3,14,9,2,3,12
2011030402,2,11,1,347.789331,2,0,8,0,吴尚垠,1,6,1,14,1,6,1,4,0,0,3,4
2011030402,2,11,2,358.370386,2,0,8,0,王皓,6,13,14,3,6,9,4,7,0,0,4,3
2011030402,2,11,3,359.021225,2,0,8,0,吴尚垠,13,22,3,4,9,8,7,6,0,0,3,4
2011030402,2,11,4,359.560272,2,0,8,0,王皓,22,21,4,3,8,7,6,5,0,0,4,3
2011030402,2,11,5,360.389796,2,0,8,0,吴尚垠,21,22,3,4,7,8,5,6,0,0,3,4
2011030402,2,11,6,360.999683,2,0,8,0,王皓,22,21,4,3,8,9,6,5,0,9,4,3
2011030402,2,11,7,361.188444,2,0,8,0,吴尚垠,21,26,3,26,9,14,5,14,9,2,3,12
2011030402,2,12,1,363.638844,2,0,9,0,吴尚垠,1,22,1,16,1,8,1,4,0,10,3,4
2011030402,2,12,2,383.448534,2,0,9,0,王皓,22,25,16,25,8,13,4,13,10,1,4,11
2011030402,2,13,1,384.668401,3,0,9,0,王皓,2,13,2,13,2,9,2,3,0,0,4,3
2011030402,2,13,2,394.197402,3,0,9,0,吴尚垠,13,14,13,10,9,10,3,8,0,0,3,4
2011030402,2,13,3,394.998390,3,0,9,0,王皓,14,9,10,15,10,5,8,9,0,0,4,3
2011030402,2,13,4,395.208980,3,0,9,0,吴尚垠,9,10,15,16,5,6,9,12,0,10,3,4
2011030402,2,13,5,395.660204,3,0,9,0,王皓,10,25,16,25,6,13,12,13,10,1,4,11
2011030402,2,14,1,397.148972,4,0,9,0,王皓,2,13,2,13,2,9,2,3,0,0,4,3
2011030402,2,14,2,411.207755,4,0,9,0,吴尚垠,13,20,13,4,9,8,3,8,0,0,3,4
2011030402,2,14,3,411.987009,4,0,9,0,王皓,20,21,4,15,8,7,8,9,0,9,4,3
2011030402,2,14,4,412.756968,4,0,9,0,吴尚垠,21,26,15,26,7,14,9,14,9,2,3,12
2011030402,2,15,1,415.467522,4,0,10,0,吴尚垠,1,14,1,10,1,8,1,4,0,0,7,4
2011030402,2,15,2,426.217347,4,0,10,0,王皓,14,21,10,3,8,7,4,5,0,0,4,3
2011030402,2,15,3,426.346791,4,0,10,0,吴尚垠,21,16,3,4,7,8,5,6,0,0,3,4
2011030402,2,15,4,426.826175,4,0,10,0,王皓,16,15,4,3,8,9,6,5,0,0,4,3
2011030402,2,15,5,427.437460,4,0,10,0,吴尚垠,15,22,3,4,9,8,5,6,0,0,3,4
2011030402,2,15,6,428.137800,4,0,10,0,王皓,22,21,4,3,8,7,6,5,0,0,4,3
2011030402,2,15,7,428.158775,4,0,10,0,吴尚垠,21,16,3,4,7,10,5,6,0,0,3,4
2011030402,2,15,8,428.828345,4,0,10,0,王皓,16,21,4,3,10,7,6,5,0,0,4,3
2011030402,2,15,9,429.258118,4,0,10,0,吴尚垠,21,22,3,4,7,8,5,6,0,10,3,4
2011030402,2,15,10,429.687401,4,0,10,0,王皓,22,25,4,25,8,13,6,13,10,1,4,11
2011030402,2,16,1,432.268640,5,0,10,0,吴尚垠,1,20,1,10,1,8,1,4,0,0,3,4
2011030402,2,16,2,437.896338,5,0,10,0,王皓,20,21,10,15,8,7,4,9,0,0,4,3
2011030402,2,16,3,438.627778,5,0,10,0,吴尚垠,21,22,15,4,7,8,9,8,0,0,3,4
2011030402,2,16,4,438.975494,5,0,10,0,王皓,22,15,4,15,8,7,8,9,0,0,4,3
2011030402,2,16,5,439.646508,5,0,10,0,吴尚垠,15,10,15,4,7,6,9,8,0,0,3,4
2011030402,2,16,6,440.366418,5,0,10,0,王皓,10,9,4,3,6,5,8,5,0,0,4,3
2011030402,2,16,7,440.936078,5,0,10,0,吴尚垠,9,22,3,16,5,8,5,10,0,10,3,4
2011030402,2,16,8,441.565543,5,0,10,0,王皓,22,25,16,25,8,13,10,13,10,1,4,11
2011030402,2,17,1,442.963982,6,0,10,0,王皓,2,13,2,3,2,7,2,3,0,0,4,3
2011030402,2,17,2,459.289539,6,0,10,0,吴尚垠,13,22,3,4,7,8,3,6,0,0,3,4
2011030402,2,17,3,459.759751,6,0,10,0,王皓,22,21,4,3,8,7,6,5,0,0,4,3
2011030402,2,17,4,460.139569,6,0,10,0,吴尚垠,21,22,3,4,7,8,5,6,0,0,3,4
2011030402,2,17,5,460.830091,6,0,10,0,王皓,22,21,4,3,8,7,6,5,0,0,4,3
2011030402,2,17,6,460.830091,6,0,10,0,吴尚垠,21,22,3,4,7,8,5,6,0,0,3,4
2011030402,2,17,7,461.869728,6,0,10,0,王皓,22,21,4,3,8,7,6,5,0,0,4,3
2011030402,2,17,8,461.869728,6,0,10,0,吴尚垠,21,22,3,4,7,8,5,6,0,0,3,4
2011030402,2,17,9,462.629864,6,0,10,0,王皓,22,15,4,3,8,9,6,5,0,9,4,3
2011030402,2,17,10,462.629864,6,0,10,0,吴尚垠,15,26,3,26,9,14,5,14,9,2,3,12
2011030402,3,0,0,0.000000,6,0,11,0,,0,0,0,0,0,0,0,0,0,0,0,0
